id,filename,date,vol,no,pages,words
90990,cn1950-11-01.txt,1950-11-01,37,5,6,11905
91043,cn1954-06-01.txt,1954-06-01,40,24,4,7433
6988,cn1918-01-25.txt,1918-01-25,4,14,6,10684
89800,cn1949-12-07.txt,1949-12-07,36,9,6,14602
88634,cn1944-02-16.txt,1944-02-16,30,15,4,10244
93158,cn1966-02-18.txt,1966-02-18,52,13,4,9683
35247,cn1920-02-26.txt,1920-02-26,6,16,8,15204
88851,cn1937-05-12.txt,1937-05-12,23,25,6,14917
88881,cn1937-11-10.txt,1937-11-10,24,6,4,9121
87074,cn1930-10-08.txt,1930-10-08,17,1,6,16571
6500,cn1914-11-05.txt,1914-11-05,1,6,4,5637
86863,cn1934-04-11.txt,1934-04-11,20,19,8,21459
92516,cn1967-03-10.txt,1967-03-10,53,16,4,7171
89616,cn1938-06-01.txt,1938-06-01,24,26,6,17007
6815,cn1917-05-16.txt,1917-05-16,3,27,6,10816
